parameter_set_id,source_config_hash,run_config_hash,weather_hash,status,start_timestamp,end_timestamp,expected_rows,physics_rows,ml_rows,physics_hash,ml_hash,runtime_seconds,validation_status,error
pa1_full_000_baseline,213c903b8d5cefe85add4502e2151b92f9b56a847db98b4bc0bbbe9514d46eb2,945de9ee161c3d504fd8227255282787b6a44e084b6ab2df63dddd7b6a7e0c53,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,3e986c6e7229a2e664f89348724b686161510f7f91bc928fab7a9123f7a3175e,12bfb29d76f689b3bc4ba6510e228628611a01b40109ca425a71bba0ede3bb77,638.4130277000004,PASS,
pa1_full_001,e4bb342af32df0450bb21c00013525b9062687e3a62dcfa84a92509df42d07ea,4e04353118c633d37b4333a235feda710bdc79eb1dc6db431548a651c347c301,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,3733fa26d9ac49deaaa67b6885c7f3bbbb8cacd1b3aebda63535e16803f04e21,308b499e3d416d04a27f1116a44d1c26dac23f4c918bab0a9a692b559d350fb1,545.3087233000006,PASS,
pa1_full_002,bfa9c19f1db44184f38079a50ec19c336f8ff94ed8c7c1088e3c43e491291160,a8ca18f20ca1fbe72ff071cc6a892841583e6219790b30c51e50355babc85925,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,3ebad80bbf084aaf0c80d736d1b00e60d677e4f108eee63cc080e091bcfa1f79,05aed8019b994bb3f03a078018f5e0b48f0294757c75d5566f6ea1a9dcb823dc,544.7422384999991,PASS,
pa1_full_003,6981c19000d85223896b26c34c6874c9da6d1b331f30eeb08f5f7005a2f60954,a0ceb6583f004e1c04fcb907fa99e44350bda0c267ed63790ffde4848d09ddef,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,2fac0c886b3583e199f8ae9afd7402c755dec6c3af79e572bc7aa2e7053c5fac,ece3a91e8d9817efe70af5f4348e2c544420896f314dfc06c94578cf6a1f8a72,536.9681963999992,PASS,
pa1_full_004,9f4acd63d09922fd8af95df47bab0d0e83f96887c3f49ca2e3e567c715add265,6c7bb3d639ffa524fc0700897114559d557c2452d969b7245106d54dd144fd27,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,09db92f857282d3362090bfc3a060d93983ef1fa46457a70c6510e9fd42c8234,486eca7657059a3cfd957bfea9ccf38f6a43db29910cfe6d24b183d62869aceb,542.7925296999983,PASS,
pa1_full_005,c0b192f8f3d9bb1bf777dc6607d43ebed913b6aab0b9b35a0fe1043d84a7f76a,56e52f0b532975178920dcca6a490ece64c40fa4fc3eccbd071ef82d58d506ed,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,b963e01f518ace38068f634f3633c0c1937c766037f2a650570e461d5337b909,757b027e4e62f711d615dccdc4619c2234a6fea5df511c05f6fb1724c5d84b26,546.0802948000019,PASS,
pa1_full_006,46da8ac2e356f4880c7f84ef936fac9a31ae164c37a149fc80dfc19fc3a33fb2,62bef901777699b1874772c0a5042ff0a97a940ee33f3e3cf69c6fa42a43e06b,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,FAILED_VALIDATION,2018-01-01T00:00,2025-12-31T23:00,70128,70128,0,ef8956ca45a5bf2920d6aba9c8abdc3bbe3cfa0fcfdf9cbcaf072826e63f1da6,,541.834539800002,FAIL,Physics validation failed: RH=100 for 6571/70128 rows (9.370009%) exceeds 5%.
pa1_full_009,dcdf41ed9efd2ad42bb181f7e24077579dd4f34a70d62507551bc0323a01db66,30a5d0a479073194b320836544583945e92bee6a252ad3b93c7522b239a5dd7b,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,137cd38d5781d9b1a07d1c169e7934f98dd611b79c61885ee5d37b4a065ec4f9,05e64d3e3a784d972cc9918a4d2a4f73c94bdc0b54ae5c01c8c76b1d49b64877,542.0058826999993,PASS,
pa1_full_010,381de891d081a0afdf0fbdef295cb89c45de5900fa4ee7eda2dbf9497739ffb7,9ba352006280578f8d617d694bbe4b536490781e93b57b5a45ca39be22aa1ad5,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,8a7f349dbbcd60e748cc5d7beb0de510284865c3d4cbf853d0fb8067499b0f11,19466f23e09161d742c7e10098a8bd01dd4cc4407423b1716ba4bcf90530b388,535.8236696999993,PASS,
pa1_full_011,588d1d08aac332bec5bc79095b761e83e8e3dae06ed4992f407a5ef4c74e8ea3,2ab4a0889a6586d6dd5de1c56b9aac85a4b8467673181c23a744d890f264ef14,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,aae787d295b8f42de9e3b6b970d3f2778dd8bbfa27e1a323be41fee26e69d071,3ecc265f0bbe8522494dd1f3c0a1060c9812ab3df706d3d46ecfa3c40a82429b,537.2057189000006,PASS,
pa1_full_012,0ba14850bb450ce274a6b5c2a6b3be0f30b6c3c8f7346f8acddae7aa66a7658a,9f0ec4a5f0bbdeb0047659aed698fe1a358aa658bc11e3000ccc9d2f36fbfd63,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,92861496959c4308f37520ac89adf8ba621a04561b6f05d235aafda1ef5b95fc,8e1f793c42843f656228ee88161139128930ed5e556ee5839ad488c057863941,551.5403780000015,PASS,
pa1_full_017,baec68e979dadfaddd2228f41c4f55e480f9a7adf05572671dbd487c6c948ddc,d18e834a29094335022e4ac90f37e7998e3feadfcbe26b8d3e5e89904854dc83,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,fed99a202702921582066ec57e33d4ba7d66a976dcab397e0fb71b6f12d21d2e,ff0dce2654696e8f480f424039871167d4079c2d5c2f6e018e699e89ee1bf345,550.605947600001,PASS,
pa1_full_018,79057dfefe9e28cedf35cf0f74b2a77d05ff6517c79772d54e8744beb1636828,bf6a6db63d2c5c4aa25ec17fd1fbd9bf4fb1bc639cfdda56e0e6c3c7b892e3a6,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,b260db501321313e28c13c9fa7e97003a99dc0138e1b2280aed5a54c5bf753ca,a376fec680d5cffa919ea8d9ac88bc0a88d1969b343221932cc801b6f42122d1,540.7590779999991,PASS,
pa1_full_021,2ff5737549fe94aea92a01d56939faf1aa35a80c15c3374ef51af1b6138c6536,c3cbfa42a6bfe1322e60ee6fb099aa75c879964077eca919a36487e7a55462d2,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,0caeeeef8b13b4a15d1d227a74e3b07f589bc87bf6329d283966b7062a5b25f2,82d7981974558ca31e6ecbc873bd4d17fdb7ae3bcb0dbf55e85507ebbe94c0b5,560.8664824000007,PASS,
