raw_candidate_index,C_d,eta_s,C_s_J_K,irrigation_flow_L_h,ET_scale,known_joint_constraint_pass,violations,seasonal_preflight_status,result,runtime_seconds
24,0.5061144809870104,0.18524526235811756,88537.96295854819,8.995656928186776,1.0669255605294115,True,,SEASONAL_PREFLIGHT_PASS,APPROVED_REPLACEMENT,48.48740050000197
25,0.47598918152292896,0.1699235632474584,74261.27734470839,8.002399785851457,1.1646844070262152,True,,SEASONAL_PREFLIGHT_PASS,APPROVED_REPLACEMENT,54.21686529999715
26,0.6131857920561063,0.10956749145620032,71159.05836091201,9.75350552027852,1.1928540883037413,True,,SEASONAL_PREFLIGHT_PASS,APPROVED_REPLACEMENT,52.46811589999925
27,0.3246999323327033,0.19299416212430906,79557.62373201633,11.341315554658543,1.064156280201154,True,,SEASONAL_PREFLIGHT_FAIL,REJECTED_SEASONAL_PREFLIGHT,50.33403790000011
28,0.5625946211798503,0.1559605351644757,85723.44219733565,7.380064560424939,1.0824434328891437,True,,SEASONAL_PREFLIGHT_PASS,APPROVED_REPLACEMENT,55.998166800000035
29,0.6033436018818408,0.12668839948261196,86584.61481850885,9.242038946918303,1.044108749306409,True,,SEASONAL_PREFLIGHT_PASS,APPROVED_REPLACEMENT,56.36447880000196
30,0.51930392179333,0.14180868161772503,88908.01012055215,10.749908771412262,1.1415816584218463,True,,SEASONAL_PREFLIGHT_FAIL,REJECTED_SEASONAL_PREFLIGHT,56.386590300000535
31,0.4863686074221141,0.1789008127507796,67389.85960927802,6.373215411849289,1.0529069723179374,True,,SEASONAL_PREFLIGHT_PASS,APPROVED_REPLACEMENT,56.24240640000062
32,0.5866911381249864,0.16742753230125357,79980.73249622516,11.850342945149713,1.153196790464341,True,,SEASONAL_PREFLIGHT_FAIL,REJECTED_SEASONAL_PREFLIGHT,56.47071590000269
33,0.5893102791884168,0.18710255841854878,84076.80608092397,7.841574162159393,1.087466249937438,True,,SEASONAL_PREFLIGHT_PASS,APPROVED_REPLACEMENT,57.13180369999827
34,0.6268192956775811,0.1938173258997665,82056.01442147959,8.669263636561912,1.2521667509764556,True,,SEASONAL_PREFLIGHT_PASS,APPROVED_REPLACEMENT,56.11792939999941
35,0.43389295037967124,0.18851797687185123,81217.53292291505,6.639118693079654,1.0165512915722807,True,,SEASONAL_PREFLIGHT_PASS,APPROVED_REPLACEMENT,56.002834599999915
36,0.5305142640923887,0.16307235586888444,89475.82149461971,12.349078797536793,1.1845968629248653,True,,SEASONAL_PREFLIGHT_FAIL,REJECTED_SEASONAL_PREFLIGHT,56.75176419999843
37,0.5649279422745619,0.1548789641452852,73005.16808952755,14.191716825962558,1.0354873913965232,True,,SEASONAL_PREFLIGHT_FAIL,REJECTED_SEASONAL_PREFLIGHT,55.90635179999663
38,0.23195974794333915,0.182308117466433,84292.56640946613,8.345620781755033,1.229840429859974,False,reject_low_cd_high_et_wedge,NOT_RUN,REJECTED_JOINT_CONSTRAINT,
39,0.34071693772619593,0.16235251592856093,77679.0295695794,12.504869213178136,1.1010663025659246,True,,SEASONAL_PREFLIGHT_FAIL,REJECTED_SEASONAL_PREFLIGHT,56.77269789999991
40,0.4561552232857586,0.19767287827692054,66174.60868353097,10.204291301339053,1.128472601271125,True,,SEASONAL_PREFLIGHT_FAIL,REJECTED_SEASONAL_PREFLIGHT,56.85765589999937
41,0.638285572835884,0.17705954153027917,75406.20104153316,11.608715708684738,1.1066189330654863,True,,SEASONAL_PREFLIGHT_FAIL,REJECTED_SEASONAL_PREFLIGHT,55.76410029999897
42,0.42919021595157925,0.19971133314319878,87514.59509909218,13.047061757813509,1.0283088137690963,True,,SEASONAL_PREFLIGHT_FAIL,REJECTED_SEASONAL_PREFLIGHT,60.83649890000015
43,0.37253496214560244,0.13841220506879884,85875.39805363736,9.499579007030654,1.0093611633149486,True,,SEASONAL_PREFLIGHT_FAIL,REJECTED_SEASONAL_PREFLIGHT,57.67732529999921
44,0.6429356538202675,0.17320877402854185,70408.27246823815,10.89809165846848,1.0211037251501227,True,,SEASONAL_PREFLIGHT_FAIL,REJECTED_SEASONAL_PREFLIGHT,56.61073399999805
45,0.5478595646063875,0.14993713972827222,78197.48056274187,10.351319510042362,1.1178017510323017,True,,SEASONAL_PREFLIGHT_FAIL,REJECTED_SEASONAL_PREFLIGHT,55.887641900000744
46,0.39757875871975024,0.13262762245319504,83312.80970101866,10.094696722090259,1.0064966093166006,True,,SEASONAL_PREFLIGHT_FAIL,REJECTED_SEASONAL_PREFLIGHT,57.36770400000023
47,0.5394800150470599,0.1669825166736068,76926.6030693165,9.785503453370564,1.1837641636546832,True,,SEASONAL_PREFLIGHT_FAIL,REJECTED_SEASONAL_PREFLIGHT,57.52969270000176
48,0.5869574893862093,0.12539923836771935,70362.56672860257,11.957462789640575,1.0517654978484827,True,,SEASONAL_PREFLIGHT_FAIL,REJECTED_SEASONAL_PREFLIGHT,58.56218760000047
49,0.5293906222012493,0.18962787433124242,74745.81856300392,12.075732186268851,1.2207223264145952,True,,SEASONAL_PREFLIGHT_FAIL,REJECTED_SEASONAL_PREFLIGHT,57.209497399999236
50,0.4590764434665465,0.1753403347840864,89878.46019181222,11.195027140763457,1.1691874837124117,True,,SEASONAL_PREFLIGHT_FAIL,REJECTED_SEASONAL_PREFLIGHT,57.40541529999973
51,0.5526870441696359,0.18538561305527393,86724.24672794182,11.694333374120989,1.065459887201373,True,,SEASONAL_PREFLIGHT_FAIL,REJECTED_SEASONAL_PREFLIGHT,60.519660300000396
52,0.6377803757297924,0.14404252555161018,78312.82732607471,10.036404119221501,1.003498660056371,True,,SEASONAL_PREFLIGHT_PASS,APPROVED_REPLACEMENT,70.08570319999853
