parameter_set_id,source_candidate_id,sampling_index,sampling_seed,C_d,eta_s,C_s_J_K,irrigation_flow_L_h,ET_scale,classification,config_hash,config_file,config_file_sha256,preflight_hash,preflight_file_sha256,weather_hash,T_air_max,RH_max,RH_saturation_fraction,RH_100_count,RH_longest_saturation_run,T_soil_max,hours_soil_above_38,hours_soil_above_40,soil_moisture_min,soil_moisture_max,stability_status
pa1_full_010,lhs_candidate_000010,10,20260816,0.5425751179759423,0.1709148979617735,71085.46990939286,6.78110312254388,1.027760635323201,APPROVED_FULL_RUN,381de891d081a0afdf0fbdef295cb89c45de5900fa4ee7eda2dbf9497739ffb7,outputs\final_parameter_preflight\configs\pa1_full_010.yaml,8d0cf6449bd3468bf69f6b4fb37421da3a8ea2239843c8c42cb3782e9da90ff9,34f9780ecda2fd4fee8c52cd0b69cf0e46ab588999fc663a84adf0906a82ec8d,7a876330f9dc114d70d25dc4e8004fca9dffac5b25842410f9772f4b756af52d,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,39.884577471177046,100.0,0.005555555555555556,4,2,37.22219839923507,0,0,0.1841896277761528,0.4045480090941257,REPRESENTATIVE_COVERAGE
pa1_full_011,lhs_candidate_000011,11,20260816,0.6161757030527564,0.13257770940825891,79677.48061941231,9.925998246296476,1.1710857296541235,APPROVED_FULL_RUN,588d1d08aac332bec5bc79095b761e83e8e3dae06ed4992f407a5ef4c74e8ea3,outputs\final_parameter_preflight\configs\pa1_full_011.yaml,7ee156dba050b17b82e3ae01b259b395aa99f602220819459cd1fd31f62906d4,719f0df441928c148574a61715ad17501fc344c58af0412ce5eb9055d674eb38,e9204c6ed2eaaaba3122a6b44d8f9f3e4222f5ae4f907b4a13b4c4369b6282b2,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,39.63924148443999,100.0,0.006944444444444444,5,2,35.87291214107405,0,0,0.19163074114226597,0.40701700586949674,REPRESENTATIVE_COVERAGE
pa1_full_012,lhs_candidate_000012,12,20260816,0.4597714964480232,0.15781559524254296,84085.45974139718,5.449289389440048,1.181860987571267,APPROVED_FULL_RUN,0ba14850bb450ce274a6b5c2a6b3be0f30b6c3c8f7346f8acddae7aa66a7658a,outputs\final_parameter_preflight\configs\pa1_full_012.yaml,cbf35027e9a461dcd607d9eba1586f489d0a12d39324bc43b00795e93eb962eb,40291e96d196f9f21e81d598f014467653bdb7fb4a9fc5f2112c631de678a48b,8e39eabe7728d238aa305871329503c5b9d7b30d65cbea60152c4ee996df68fc,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,40.052003057047706,100.0,0.008333333333333333,6,3,36.637675214057076,0,0,0.17302570239182338,0.40329118590228924,PASS
pa1_full_013,lhs_candidate_000013,13,20260816,0.5685513784820908,0.14259870766309696,89610.48398990538,11.253190201710028,1.0479059002777538,APPROVED_FULL_RUN,631fbaa1dac5ccf701b4247028d3fb8e29cc393aecfcefe061a04045e01c4a83,outputs\final_parameter_preflight\configs\pa1_full_013.yaml,9640ab8cda420b65e6c4f5fc7efef27849a6f6c1ab06f26cbf8c496c0b0d31be,98a84df3e3cd9beb8476bef8f79c975db7e4c53af76afb86a45d372ab1076cf4,adbb7e37bc1a7abad07c6967fd9bda56fa77e58204bce7b8cf959aed26261dd6,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,39.53448744243625,100.0,0.008333333333333333,6,2,35.967834588395526,0,0,0.2048048564201968,0.4082522086848686,REPRESENTATIVE_COVERAGE
pa1_full_014,lhs_candidate_000014,14,20260816,0.35213316097598674,0.16230213304229726,84797.15244743024,10.225121239757117,1.2610378170228205,APPROVED_FULL_RUN,b1c0ad9ea7edfd98e981d8566544a325ae692a6d5c1bcde7d30c4a11f1272506,outputs\final_parameter_preflight\configs\pa1_full_014.yaml,16b0f0ad171cef133e5dbd1ea7844f43b23cc15ddc9ea8362b23285f089b2f07,38d62fe82336aa76215fb94687e8f7d63789c4ea11d1b878d1eede15c2b80b75,afdc7e948f2e102361bd83354a0302b815ffc0d5e1e091dea93b3e58676a67f8,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,39.75971391162357,100.0,0.018055555555555554,13,3,36.66039457135416,0,0,0.18889803431552646,0.40721055767692993,REPRESENTATIVE_COVERAGE
pa1_full_015,lhs_candidate_000015,15,20260816,0.39585354087554603,0.1251650667199492,85724.05289504018,9.01411905188864,1.2166069507544035,APPROVED_FULL_RUN,1a67f3e9de017c0cdb0883c259be0937b7b7e7961324391330af7a83cf87af37,outputs\final_parameter_preflight\configs\pa1_full_015.yaml,51206c1b0682db7fef44dc3160472b82b173c6d6d3fcf07793ec410fda1ab9a6,1ae28877c6a43fc308f21dda0d410d368e67b5599f918969ddb1b1ace3906e9b,4cd0bad0f6f0b5227e775c739d3de95f4de39a0b1e435b828d6492f438181eec,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,39.81050804939114,100.0,0.013888888888888888,10,3,35.62710425519511,0,0,0.18608583616372357,0.4062371203554672,REPRESENTATIVE_COVERAGE
pa1_full_016,lhs_candidate_000016,16,20260816,0.4666995058072113,0.173988756971094,68079.13984793026,11.537810684985814,1.0588658151435872,APPROVED_FULL_RUN,7931ceea8aee911f49bf8c30ad98f6e83ade36d388b0971b247bfbac8691c1de,outputs\final_parameter_preflight\configs\pa1_full_016.yaml,1b45a9e6d52851e3634dfdd6267af5841e5d07de81aef799d47ef21cce317d4e,9447073b54c94386f7709b0057d0971f53c31aea7acdf06046f47dfae771d6af,f7bf135fdff6d194e5fd142c89c5cd13bb801df486afa9080c4954383076e197,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,39.5717183360916,100.0,0.013888888888888888,10,2,37.2861783067799,0,0,0.2054746060979409,0.4084870646206019,REPRESENTATIVE_COVERAGE
pa1_full_017,lhs_candidate_000017,17,20260816,0.5763266823727005,0.1752415654318843,78464.4902828002,9.629356356047666,1.157551029868022,APPROVED_FULL_RUN,baec68e979dadfaddd2228f41c4f55e480f9a7adf05572671dbd487c6c948ddc,outputs\final_parameter_preflight\configs\pa1_full_017.yaml,edc51e81830e4a062e846bcc2cf36080aed94d6fc571d5f3b6a5d6509350dc73,98cbb1dc8adf5b4cc0c407613abb2b94b72cbc24a6f3e6374cb91342d2a8eb65,bb3bafd745da1a1b9033491dabb655da26d2660e7c217b365d7f6b7ab08ccd89,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,39.68969359234556,100.0,0.008333333333333333,6,2,37.118303861223005,0,0,0.19108787014629128,0.4067867944312815,REPRESENTATIVE_COVERAGE
pa1_full_018,lhs_candidate_000018,18,20260816,0.4441514834104481,0.16481551227511382,88923.59066740777,7.537618416974564,1.000019161624783,APPROVED_FULL_RUN,79057dfefe9e28cedf35cf0f74b2a77d05ff6517c79772d54e8744beb1636828,outputs\final_parameter_preflight\configs\pa1_full_018.yaml,2621eb2e31874ecd6ca7fa98595be68a324eb172e74835e584657ba2b9a77d3c,0d99ccd7cf5e703b2e316e21305e90a9b166dd46edffa2369e316e4ed69b6fe3,76711aa69817767da493e09a160cb66a734edf56f69a4933da03314ccc95a63f,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,39.86251274263421,100.0,0.006944444444444444,5,2,36.69561735047232,0,0,0.18930600661177532,0.40521503418838406,REPRESENTATIVE_COVERAGE
pa1_full_019,lhs_candidate_000019,19,20260816,0.6371249092370019,0.1994964379704339,77353.8549849558,10.867768477398197,1.00700190563823,APPROVED_FULL_RUN,38fe614908d7835b49f36108935e78d29dca5f5e0f34647716fe64bb3acc1e77,outputs\final_parameter_preflight\configs\pa1_full_019.yaml,7dc2d9a3fafb5c16fde9eb32a2c8c088c27db22e8ccfd435c9c77fff2802c6f1,2a12d32471bc3f35c7134aebfcbb973554bc2643285cb1187be12cdb614948a1,5703b51794fb3e077e2124b1a567456dcdf33a57f785ee6fc18ffd3f4cb59630,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,39.54584954771753,100.0,0.002777777777777778,2,1,37.788847184632395,0,0,0.20562603811211339,0.4079687991565921,REPRESENTATIVE_COVERAGE
pa1_full_020,lhs_candidate_000020,20,20260816,0.6426082813659142,0.1547641049817945,88262.26130654673,12.123724665594288,1.1122118517585284,APPROVED_FULL_RUN,7e0a6f58ac3eb6c1062b5ef561b87c1535e85ad71c4367b8c46725cf3a616bd6,outputs\final_parameter_preflight\configs\pa1_full_020.yaml,2582411e4c4ae84438934329bd40a1ac32fc99fd79967a4bf5b6ab48fcea0dc2,f48107d579e3976c2fe6326436dd51d2bdd5ae4fa7332ef5c75cd0cab7f579f7,ec8f2ccfb861306d4c0d4473215eb2deaac4445ad0029bbb58f2fe4b9ad2101a,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,39.46132746439384,100.0,0.005555555555555556,4,2,36.29957801427445,0,0,0.20426939162131952,0.40890670559659226,REPRESENTATIVE_COVERAGE
pa1_full_021,lhs_candidate_000021,21,20260816,0.500915084076389,0.1946931549390054,72838.06824301925,8.127593605747457,1.0140368021779966,APPROVED_FULL_RUN,2ff5737549fe94aea92a01d56939faf1aa35a80c15c3374ef51af1b6138c6536,outputs\final_parameter_preflight\configs\pa1_full_021.yaml,70e7a6915e0a90866725997207342eeb4e1c55e203e507779156ec4926013bb1,d042d3ad2c7179b10e3985e15a5d2b0f225e0c04a7df25b81b13e8608df7d37d,090877b3e712334f321f6c5117a8fd22b465d4ac72e853100012191f73747f59,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,39.80860714261289,100.0,0.004166666666666667,3,1,37.84334230112001,0,0,0.1915033278132592,0.40568735873433664,PASS
pa1_full_022,lhs_candidate_000022,22,20260816,0.608768807341019,0.1885689250038075,74183.1355398643,10.676128109480423,1.0910375915614683,APPROVED_FULL_RUN,819c5b05dea1ee5802a4528ccb2250ccc2a5bd347963b5b4991368cdc650aedf,outputs\final_parameter_preflight\configs\pa1_full_022.yaml,bad0d541986c341aaae516cf277ad99136a16972da45a4863e2fc226bd96d228,5da826ce9c285e1210762b55d667cf5f26993e91834a92f4ba6e9a9653d90853,4858b73d2ebd9db0687f70ada72853216e155d2379f58602062e85ff3838be01,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,39.589807867364506,100.0,0.005555555555555556,4,2,37.56222192406312,0,0,0.19924308283023875,0.4077243902221323,REPRESENTATIVE_COVERAGE
pa1_full_023,lhs_candidate_000023,23,20260816,0.5344203505604506,0.18183194887755,87823.56290254838,7.693059249214098,1.0663060178666528,APPROVED_FULL_RUN,ddcc0f1077fc26ec6d378edf40df5228428d3096024022caf2ef66aeaf98506e,outputs\final_parameter_preflight\configs\pa1_full_023.yaml,6037d49522052ae8f85cdb0cc8a32c8c6871f77796f837f4d2039075455972a7,9d35d95261f543d83494c7c1f7c4a04bdae4dbab576d16082a2147f2f3d88c46,7cd9397ddaeef1e9a79642bdf129ba9d26dab391928147966b4c2b200e5609dd,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,39.831316616956364,100.0,0.005555555555555556,4,2,37.17283048374804,0,0,0.1868595360621538,0.40526931307039377,REPRESENTATIVE_COVERAGE
